Timestamp,Wind speed (m/s),Wind direction (°),Nacelle position (°),Energy Export (kWh),Power (kW),Rotor current (A),Rotor speed (RPM),Generator RPM (RPM),"Generator RPM, Max (RPM)","Generator RPM, Min (RPM)","Generator RPM, Standard deviation (RPM)","Rotor speed, Max (RPM)","Rotor speed, Min (RPM)","Rotor speed, Standard deviation (RPM)",Blade angle (pitch position) (°),"Blade angle (pitch position), Max (°)","Blade angle (pitch position), Min (°)","Blade angle (pitch position), Standard deviation (°)",Grease left generator bearing,Grease left shaft bearing,direccion (grados),presion (hPa),Xpos,Ypos,Zpos,Turbine
2018-01-01 00:00:00,4.80999994277954,337.284729003906,340.0,66.0,382.524993896484,186.940002441406,10.585000038147,1127.90002441406,1243.19995117188,1069.09997558594,37.9640426635742,11.6999998092651,10.1000003814697,0.353942006826401,1.60500073432922,2.09999990463257,0.899999976158142,0.285438239574432,0.0,0.0,139.651702880859,995.419982910156,529117,6281142,174,WTG-1
2018-01-01 00:10:00,4.80000019073486,336.558685302734,340.0,66.0,405.149993896484,192.089996337891,10.7550001144409,1145.29504394531,1217.40002441406,1052.5,49.8812599182129,11.3999996185303,9.89999961853027,0.472731441259384,1.5500020980835,2.0,0.699999988079071,0.358468979597092,0.0,0.0,139.248291015625,995.609985351562,529117,6281142,174,WTG-1
2018-01-01 00:20:00,4.69999980926514,326.079711914062,333.747528076172,66.0,349.869995117187,179375,10.3800001144409,1105.16003417969,1235.09997558594,1047.0,52.3052215576172,11.6000003814697,9.80000019073486,0.50950962305069,1.46499967575073,2.40000009536743,0.5,0.511150658130646,0.0,0.0,137.446044921875,995.710021972656,529117,6281142,174,WTG-1
2018-01-01 00:30:00,4.96500015258789,327.554656982422,331.0,64.0,438.825012207031,196.365005493164,10.9200000762939,1161.94494628906,1237.80004882813,1076.40002441406,44.6549491882324,11.6000003814697,10.1000003814697,0.428485721349716,1.16500318050385,1.60000002384186,0.100000001490116,0.353942096233368,0.0,0.0,131.741821289063,995.3349609375,529117,6281142,174,WTG-1
2018-01-01 00:40:00,4.65999984741211,327.899780273437,331.0,68.0,325.295013427734,172.505004882813,10.1899995803833,1084.78503417969,1176.5,1045.30004882813,40.2090301513672,11.1000003814697,9.80000019073486,0.389743566513061,1.45000243186951,2.09999990463257,0.600000023841858,0.464219778776169,0.0,0.0,136.73811340332,995.321044921875,529117,6281142,174,WTG-1
2018-01-01 00:50:00,4.57000017166138,326.773406982422,331.0,52.0,310.100006103516,168.259994506836,9.98999977111816,1066.17504882813,1129.09997558594,1042.30004882813,21.2710762023926,10.6000003814697,9.69999980926514,0.209523364901543,1.28999948501587,2.29999995231628,0.200000002980232,0.541202366352081,0.0,0.0,137.75927734375,995.290466308594,529117,6281142,174,WTG-1
2018-01-01 01:00:00,5.62777757644653,323.672210693359,331.0,56.0,437.833343505859,202.233337402344,11.0555553436279,1175.677734375,1286.69995117188,1065.09997558594,60.624382019043,12.0,10.0,0.563936650753021,0.688886761665344,1.79999995231628,0.0,0.455691039562225,0.0,0.0,131.701095581055,995.064697265625,529117,6281142,174,WTG-1
2018-01-01 01:10:00,5.65500020980835,323.783111572266,331.0,86.0,509.635009765625,220.244995117188,11.5200004577637,1227.43005371094,1424.09997558594,1098.19995117188,98.8199234008789,13.3000001907349,10.3000001907349,0.910274684429169,0.63998931646347,2.0,-0.100000001490116,0.639843761920929,0.0,0.0,134.130462646484,994.923828125,529117,6281142,174,WTG-1
2018-01-01 01:20:00,4.50500011444092,331.49658203125,331.0,70.0,296.170013427734,164.835006713867,9.97999954223633,1063.33996582031,1116.30004882813,1044.80004882813,21.5408782958984,10.5,9.80000019073486,0.206397622823715,1.65000379085541,2.29999995231628,0.400000005960465,0.478016704320908,0.0,0.0,133.228179931641,994.940002441406,529117,6281142,174,WTG-1
2018-01-01 01:30:00,5.7350001335144,324.327972412109,329.00244140625,48.0,598.934997558594,240.050003051758,11.9650001525879,1273.98498535156,1572.80004882813,1046.30004882813,199.191848754883,14.6999998092651,9.80000019073486,1.87837028503418,0.80500340461731,2.40000009536743,-0.800000011920929,1.11421501636505,0.0,0.0,130.648361206055,994.7099609375,529117,6281142,174,WTG-1
2018-01-01 01:40:00,5.08095216751099,326.515380859375,323.0,126.0,457.94287109375,204.914291381836,11.1238098144531,1184.87622070313,1480.80004882813,1048.80004882813,152.119979858398,13.8999996185303,9.80000019073486,1.42391300201416,1.23808813095093,2.5,0.200000002980232,0.756228864192963,0.0,0.0,132.168960571289,994.54736328125,529117,6281142,174,WTG-1
2018-01-01 01:50:00,4.25789451599121,331.503234863281,324.052337646484,54.0,243.105270385742,157.742111206055,9.84736824035645,1050.310546875,1060.09997558594,1046.0,3.63417601585388,10.0,9.80000019073486,0.059545621275902,1.99473750591278,2.59999990463257,1.29999995231628,0.328431189060211,0.0,0.0,139.200607299805,994.559997558594,529117,6281142,174,WTG-1
2018-01-01 02:00:00,4.67000007629395,334.778503417969,330.239501953125,44.0,345.970001220703,175.544998168945,10.2449998855591,1092.26000976563,1176.69995117188,1048.30004882813,37.7366256713867,11.0,9.80000019073486,0.354224503040314,1.21499741077423,2.20000004768372,0.800000011920929,0.325998455286026,0.0,0.0,138.298553466797,994.429992675781,529117,6281142,174,WTG-1
